"116h -- Rakennukset (lkm, m2) käyttötarkoituksen ja lämmitysaineen mukaan, 2019"

"Rakennuksen lämmitysaine","Alue","Vuosi","Rakennuksen kerrosala (m2) Yhteensä","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"Yhteensä","Kokkola","2019",4434168,1861932,226612,553514,393716,114126,92518,145280,95840,209683,463208,267934,9805
"Yhteensä","Kolari","2019",537392,226786,24322,8949,167309,11977,15383,11644,11087,21293,25869,9832,2941
"Yhteensä","Konnevesi","2019",234543,148918,19658,5486,13291,4533,8023,4525,5718,8635,12699,2653,404
"Yhteensä","Kontiolahti","2019",1144717,701206,98565,32897,35547,16064,20238,39890,21154,58344,101788,16582,2442
"Yhteensä","Korsnäs","2019",236267,132836,10150,1690,16379,4487,10810,4302,7808,9394,24542,13253,616
"Yhteensä","Koski Tl","2019",273148,140857,22884,7203,12269,4561,5956,1714,5657,13875,38855,17020,2297
"Yhteensä","Kotka","2019",5503027,1334482,297509,1290229,352457,191599,168270,124933,94833,216480,692992,722122,17121
"Yhteensä","Kouvola","2019",8160395,3104563,543336,1275887,609932,269574,225138,222663,186211,265041,970691,453749,33610
"Yhteensä","Kristiinankaupunki","2019",827563,399642,50084,23495,50746,16293,34742,25102,16451,21479,119475,64894,5160
"Yhteensä","Kruunupyy","2019",681935,402399,22372,11174,11929,8347,41671,16652,18836,16018,64949,63951,3637
"Yhteensä","Kuhmo","2019",892018,437910,61579,71576,51932,17765,25170,18614,21405,37873,111486,33574,3134
"Yhteensä","Kuhmoinen","2019",267426,137804,18744,23028,12117,4406,11708,11308,5526,7330,26494,7356,1605
"Yhteensä","Kumlinge","2019",32345,21589,1134,0,3362,239,1769,834,694,1558,1144,22,0
"Yhteensä","Kuopio","2019",10312815,2895668,810812,2879774,838928,424123,280807,454842,203945,524911,674286,276452,48267
"Yhteensä","Kuortane","2019",442936,232734,27803,7640,34704,8998,13637,4761,34398,11888,49363,13900,3110
"Yhteensä","Kurikka","2019",2297079,1162089,144159,74118,124086,33726,84955,51395,42976,99888,356740,110405,12542
"Yhteensä","Kustavi","2019",128732,64579,9895,1340,10603,1853,6929,2132,1480,1387,18371,9147,1016
"Yhteensä","Kuusamo","2019",1665612,695826,124171,163660,308357,28059,59373,37783,42528,62156,104303,30946,8450
"Yhteensä","Kyyjärvi","2019",156548,81757,13565,750,8977,1530,7325,4954,1193,1994,26814,7265,424
"Yhteensä","Kärkölä","2019",490163,221767,38659,10945,16059,17552,11332,7201,6479,9452,117768,26807,6142
"Yhteensä","Kärsämäki","2019",264328,132579,26999,696,15349,3857,5642,8550,2223,14160,41856,9299,3118
"Yhteensä","Kökar","2019",26343,16803,2329,0,3280,178,619,1020,715,568,581,34,216
"Yhteensä","Lahti","2019",10909630,2447432,578260,3477164,879854,304364,220499,212836,249800,329183,1767013,425483,17742
"Yhteensä","Laihia","2019",646391,389271,54477,35212,23445,9778,16615,15151,15438,18015,41785,24543,2661
"Yhteensä","Laitila","2019",943991,387942,46289,81984,64091,14354,29459,28495,17211,30381,184653,57191,1941
"Yhteensä","Lapinjärvi","2019",303640,168134,21899,2214,11054,4725,13055,9082,5321,9045,50407,7709,995
"Yhteensä","Lapinlahti","2019",884789,492849,89432,29667,29377,19059,13596,16722,26044,24628,109471,23070,10874
"Yhteensä","Lappajärvi","2019",346994,193386,17791,14481,25757,7521,5790,11976,7046,15544,33988,11387,2327
"Yhteensä","Lappeenranta","2019",6643977,2067621,329775,1542292,638367,198390,173077,139892,119946,233425,802288,383333,15571
"Yhteensä","Lapua","2019",1397036,705342,83117,100366,93126,27603,31580,21546,36207,66719,161015,66890,3525
"Yhteensä","Laukaa","2019",1530419,824556,133027,76420,56551,21235,48039,46486,27994,56465,132252,104971,2423
"Yhteensä","Lemi","2019",246842,170754,21867,1969,6508,1914,4594,6508,3904,8030,15843,3854,1097
"Yhteensä","Lemland","2019",158308,123542,5828,1559,4741,658,7880,3810,2236,1255,1472,3697,1630
"Yhteensä","Lempäälä","2019",2049900,878186,156742,198337,201998,28169,14596,39163,21776,60558,263076,184244,3055
"Yhteensä","Leppävirta","2019",959483,497413,90653,61790,43854,13351,14029,24124,28968,33159,134633,15605,1904
"Yhteensä","Lestijärvi","2019",84935,47638,4855,0,3594,631,1732,3303,1476,715,18394,1097,1500
"Yhteensä","Lieksa","2019",1248106,557147,78963,150903,95717,26431,26567,31662,39546,50104,150096,36719,4251
"Yhteensä","Lieto","2019",1644929,926813,97215,132541,29841,19945,51805,37282,20843,36468,202094,81138,8944
"Yhteensä","Liminka","2019",686871,415256,39752,14602,41538,10042,18244,15970,15679,66557,28486,19106,1639
"Yhteensä","Liperi","2019",1022773,598097,80561,35635,56848,16491,36441,29660,14733,27021,86381,38047,2858
"Yhteensä","Lohja","2019",4211365,1747598,302211,576244,285454,72472,64530,116679,92983,164763,613743,161780,12908
"Yhteensä","Loimaa","2019",1803591,762910,109617,167698,107599,44178,59452,47891,34774,66940,283539,113762,5231
"Yhteensä","Loppi","2019",680303,423785,35229,24822,30924,5895,19390,18087,13434,20703,44186,40652,3196
"Yhteensä","Loviisa","2019",1585758,696202,87710,157480,110057,27957,44647,21566,35040,41981,244778,109540,8800
"Yhteensä","Luhanka","2019",75327,52336,6270,737,4145,1050,1903,1198,2663,1182,2296,1074,473
"Yhteensä","Lumijoki","2019",134423,98354,11336,0,3441,1418,2838,3801,3130,5010,3638,1002,455
"Yhteensä","Lumparland","2019",37090,24852,1476,0,1252,31,3784,965,761,636,643,2690,0
"Yhteensä","Luoto","2019",333541,233100,15107,5565,4794,1093,2064,6039,4636,13262,37125,8416,2340
"Yhteensä","Luumäki","2019",508709,264684,50852,25018,29603,7330,15502,5661,13819,10682,58981,25536,1041
"Yhteensä","Maalahti","2019",499628,303819,31185,7528,12098,10176,10760,13650,16428,16237,60559,14981,2207
"Yhteensä","Maarianhamina - Mariehamn","2019",1198177,365617,41812,329938,100569,93122,28593,46255,35813,62314,70943,20449,2752
"Yhteensä","Marttila","2019",207857,134645,13546,3994,6294,4355,13775,3340,5867,1790,9681,9080,1490
"Yhteensä","Masku","2019",791346,524032,49780,13049,21637,8682,29570,26987,12555,25724,44321,30417,4592
"Yhteensä","Merijärvi","2019",86022,56120,6994,194,884,1022,3188,1705,2350,3780,8757,746,282
